EPOCH,AMOUNT,DATE,PRICE_EUR,PRICE_USD,PRICE_JPY
249,0.221363,1-3-2021,1.0781380966501608,1.3032197936512573,138.79812090303358
250,0.855059,6-3-2021,0.9774692168616003,1.1647617398711405,126.20773947789256
251,2.278718,11-3-2021,0.952194785598319,1.1354441106096025,123.13437201916892
252,2.507377,16-3-2021,0.8647664406258901,1.0313636409049007,112.56302776836077
253,2.724968,21-3-2021,1.0106934614725955,1.20742530325912,131.51879835627304
254,2.097377,26-3-2021,0.93151276024205,1.0970046944351481,119.76768152434613
255,2.323579,31-3-2021,1.0331968056082852,1.2113713624549767,133.6510062060738
256,1.903321,5-4-2021,1.0057527447425711,1.1834195167997104,130.98530994258005
257,2.229998,10-4-2021,1.0120241030479642,1.2043891358213494,132.07932989477456
258,2.118326,15-4-2021,1.215092125914603,1.4561052030119335,158.52762955711222
259,2.268758,20-4-2021,0.9922830928401558,1.194858148474349,129.1761144315619
260,2.684364,25-4-2021,0.9184649607014803,1.1110808206966274,119.89117595726965
261,2.186714,30-4-2021,1.084750118912631,1.3151260010143138,143.18522011548447
262,2.222168,5-5-2021,1.0636510857026051,1.2779659806591444,139.72002066546426
263,2.104001,10-5-2021,1.4569080349969932,1.7740322694519541,192.54464975491175
264,2.714446,15-5-2021,1.6538427228090145,2.0084971185028992,219.67937233625457
265,1.643162,20-5-2021,1.2466161013735275,1.5173694336333208,165.84013356423705
266,1.984923,25-5-2021,1.2633274963966594,1.543146196143331,167.9792260311007
267,1.976659,30-5-2021,1.1611064063409828,1.4156847474142424,155.51296266569742
268,2.070319,4-6-2021,1.5176026926080357,1.8410805442290892,203.00674620942024
269,0.002823,9-6-2021,1.2992726037493694,1.5814104630520178,173.13598031586085
270,0.004685,14-6-2021,1.293879898072177,1.5668237245333339,171.88839669992916
271,0.005767,19-6-2021,1.1962243002383985,1.419139968156482,156.38207838315185
272,0.00587,24-6-2021,1.0463758118941033,1.2483605486687026,138.58424958935848
