EPOCH,AMOUNT,DATE,PRICE_EUR,PRICE_USD,PRICE_JPY
260,0.435426,25-4-2021,0.9184649607014803,1.1110808206966274,119.89117595726965
261,0.354342,30-4-2021,1.084750118912631,1.3151260010143138,143.18522011548447
262,0.359821,5-5-2021,1.0636510857026051,1.2779659806591444,139.72002066546426
263,0.340687,10-5-2021,1.4569080349969932,1.7740322694519541,192.54464975491175
264,0.439533,15-5-2021,1.6538427228090145,2.0084971185028992,219.67937233625457
265,0.266067,20-5-2021,1.2466161013735275,1.5173694336333208,165.84013356423705
266,0.321406,25-5-2021,1.2633274963966594,1.543146196143331,167.9792260311007
267,0.320068,30-5-2021,1.1611064063409828,1.4156847474142424,155.51296266569742
268,0.335233,4-6-2021,1.5176026926080357,1.8410805442290892,203.00674620942024
269,0.311938,9-6-2021,1.2992726037493694,1.5814104630520178,173.13598031586085
270,0.360237,14-6-2021,1.293879898072177,1.5668237245333339,171.88839669992916
271,0.336453,19-6-2021,1.1962243002383985,1.419139968156482,156.38207838315185
272,0.342563,24-6-2021,1.0463758118941033,1.2483605486687026,138.58424958935848
273,0.324519,29-6-2021,1.1165023468191397,1.3318537800819263,147.30036436950118
274,0.323914,4-7-2021,1.188060646032003,1.4096155624434996,156.51666397591373
275,0.346163,9-7-2021,1.1369449446557645,1.3468246740938277,147.9123261830064
276,0.41152,14-7-2021,1.0740718214066387,1.264671768275158,139.87269757123246
