EPOCH,AMOUNT,DATE,PRICE_EUR,PRICE_USD,PRICE_JPY
258,2.769972,15-4-2021,1.215092125914603,1.4561052030119335,158.52762955711222
259,2.964833,20-4-2021,0.9922830928401558,1.194858148474349,129.1761144315619
260,3.505394,25-4-2021,0.9184649607014803,1.1110808206966274,119.89117595726965
261,2.854605,30-4-2021,1.084750118912631,1.3151260010143138,143.18522011548447
262,2.900889,5-5-2021,1.0636510857026051,1.2779659806591444,139.72002066546426
263,2.746631,10-5-2021,1.4569080349969932,1.7740322694519541,192.54464975491175
264,3.543526,15-5-2021,1.6538427228090145,2.0084971185028992,219.67937233625457
265,2.145037,20-5-2021,1.2466161013735275,1.5173694336333208,165.84013356423705
266,2.591183,25-5-2021,1.2633274963966594,1.543146196143331,167.9792260311007
267,2.580395,30-5-2021,1.1611064063409828,1.4156847474142424,155.51296266569742
268,2.702661,4-6-2021,1.5176026926080357,1.8410805442290892,203.00674620942024
269,2.514852,9-6-2021,1.2992726037493694,1.5814104630520178,173.13598031586085
270,2.904244,14-6-2021,1.293879898072177,1.5668237245333339,171.88839669992916
271,2.71249,19-6-2021,1.1962243002383985,1.419139968156482,156.38207838315185
272,2.761751,24-6-2021,1.0463758118941033,1.2483605486687026,138.58424958935848
273,2.616284,29-6-2021,1.1165023468191397,1.3318537800819263,147.30036436950118
274,2.611408,4-7-2021,1.188060646032003,1.4096155624434996,156.51666397591373
275,2.790775,9-7-2021,1.1369449446557645,1.3468246740938277,147.9123261830064
276,3.317688,14-7-2021,1.0740718214066387,1.264671768275158,139.87269757123246
