EPOCH,AMOUNT,DATE,PRICE_EUR,PRICE_USD,PRICE_JPY
259,23.742856,20-4-2021,0.9922830928401558,1.194858148474349,129.1761144315619
260,28.071755,25-4-2021,0.9184649607014803,1.1110808206966274,119.89117595726965
261,22.844295,30-4-2021,1.084750118912631,1.3151260010143138,143.18522011548447
262,23.214706,5-5-2021,1.0636510857026051,1.2779659806591444,139.72002066546426
263,21.980249,10-5-2021,1.4569080349969932,1.7740322694519541,192.54464975491175
264,28.357498,15-5-2021,1.6538427228090145,2.0084971185028992,219.67937233625457
265,17.165921,20-5-2021,1.2466161013735275,1.5173694336333208,165.84013356423705
266,20.736257,25-5-2021,1.2633274963966594,1.543146196143331,167.9792260311007
267,20.649924,30-5-2021,1.1611064063409828,1.4156847474142424,155.51296266569742
268,21.628377,4-6-2021,1.5176026926080357,1.8410805442290892,203.00674620942024
269,20.125406,9-6-2021,1.2992726037493694,1.5814104630520178,173.13598031586085
270,23.241563,14-6-2021,1.293879898072177,1.5668237245333339,171.88839669992916
271,21.707033,19-6-2021,1.1962243002383985,1.419139968156482,156.38207838315185
272,22.101248,24-6-2021,1.0463758118941033,1.2483605486687026,138.58424958935848
273,20.937133,29-6-2021,1.1165023468191397,1.3318537800819263,147.30036436950118
274,20.898112,4-7-2021,1.188060646032003,1.4096155624434996,156.51666397591373
275,22.333515,9-7-2021,1.1369449446557645,1.3468246740938277,147.9123261830064
276,56.110345,14-7-2021,1.0740718214066387,1.264671768275158,139.87269757123246
277,34.316444,19-7-2021,1.0074595231738694,1.1900065239474007,130.74423177631485
278,49.859711,24-7-2021,1.022163056305609,1.203239820067367,133.0199371879917
279,48.757797,29-7-2021,1.0838846999389706,1.2840181960693164,141.0936974659787
280,52.002619,3-8-2021,1.106650952028966,1.314092238745016,143.6223971413976
