EPOCH,AMOUNT,DATE,PRICE_EUR,PRICE_USD,PRICE_AUSD,PRICE_JPY
271,1.355411,19-6-2021,1.1962243002383985,1.419139968156482,1.8977534372570637,156.38207838315185
272,1.379043,24-6-2021,1.0463758118941033,1.2483605486687026,1.6482179225705766,138.58424958935848
273,1.305465,29-6-2021,1.1165023468191397,1.3318537800819263,1.7598449923112571,147.30036436950118
274,1.303033,4-7-2021,1.188060646032003,1.4096155624434996,1.8719144919180308,156.51666397591373
275,1.392534,9-7-2021,1.1369449446557645,1.3468246740938277,1.8123936806099072,147.9123261830064
276,1.655452,14-7-2021,1.0740718214066387,1.264671768275158,1.6998276183338812,139.87269757123246
277,1.0128,19-7-2021,1.0074595231738694,1.1900065239474007,1.610578629640892,130.74423177631485
278,1.472071,24-7-2021,1.022163056305609,1.203239820067367,1.6333066095151243,133.0199371879917
279,1.439537,29-7-2021,1.0838846999389706,1.2840181960693164,1.7402863579333712,141.0936974659787
280,1.53541,3-8-2021,1.106650952028966,1.314092238745016,1.784609535288864,143.6223971413976
281,0.707247,8-8-2021,1.2567895923660681,1.4783359788246955,2.0101658688708977,162.93479990616373
282,1.312386,13-8-2021,1.5403344376351036,1.8076602778206021,2.462752747182235,199.57473297278375
283,1.424232,18-8-2021,1.6417802522684188,1.9222342258147989,2.6489829307397263,210.6249708252049
