EPOCH,AMOUNT,DATE,PRICE_EUR,PRICE_USD,PRICE_AUSD,PRICE_JPY
297,3.098772,27-10-2021,1.8444523781167987,2.1388228437474472,2.847566708302883,244.2300417046771
298,2.653616,1-11-2021,1.7016127493802682,1.9667594590992787,2.616714457547817,224.67670032912437
299,3.048093,6-11-2021,1.7196621090818318,1.9864686920482133,2.686244004664729,225.29534670864794
300,2.748359,11-11-2021,1.8255212964774834,2.0970951137018767,2.8597561791774053,238.7941235021189
301,3.333737,16-11-2021,1.7820544546694377,2.025232183921643,2.757252356800121,231.2025313486788
302,2.802843,21-11-2021,1.7081982181994784,1.9280607722403638,2.6660125363899603,219.7892809062054
303,1.938894,26-11-2021,1.498015052396666,1.6790577782821612,2.338843532258137,193.31411965807098
304,2.947959,1-12-2021,1.371355254025005,1.554012306521199,2.1819886795864165,175.99741909752245
305,0.669114,6-12-2021,1.2171809887719751,1.3759194384686666,1.961267213740322,155.5057269760094
306,0.608337,11-12-2021,1.0733446993731752,1.2148656090353085,1.693723111820711,137.747520035904
307,0.491567,16-12-2021,1.1621674486019378,1.3122271887742145,1.8311211860312016,149.79040554177917
