EPOCH,AMOUNT,DATE,PRICE_EUR,PRICE_USD,PRICE_AUSD,PRICE_JPY
273,0.592486,29-6-2021,1.1165023468191397,1.3318537800819263,1.7598449923112571,147.30036436950118
274,1.546096,4-7-2021,1.188060646032003,1.4096155624434996,1.8719144919180308,156.51666397591373
275,1.366318,9-7-2021,1.1369449446557645,1.3468246740938277,1.8123936806099072,147.9123261830064
276,0.207228,14-7-2021,1.0740718214066387,1.264671768275158,1.6998276183338812,139.87269757123246
277,0.984728,19-7-2021,1.0074595231738694,1.1900065239474007,1.610578629640892,130.74423177631485
278,0.658735,24-7-2021,1.022163056305609,1.203239820067367,1.6333066095151243,133.0199371879917
279,1.953976,29-7-2021,1.0838846999389706,1.2840181960693164,1.7402863579333712,141.0936974659787
280,0.660854,3-8-2021,1.106650952028966,1.314092238745016,1.784609535288864,143.6223971413976
281,0.662028,8-8-2021,1.2567895923660681,1.4783359788246955,2.0101658688708977,162.93479990616373
282,0.228845,13-8-2021,1.5403344376351036,1.8076602778206021,2.462752747182235,199.57473297278375
283,1.104652,18-8-2021,1.6417802522684188,1.9222342258147989,2.6489829307397263,210.6249708252049
284,0.230853,23-8-2021,2.2767297188413567,2.6628666921343758,3.7300105190072275,292.5159061309616
285,1.093773,28-8-2021,2.487767915192561,2.93442218478271,4.012311748230202,322.3022999575218
286,1.692311,2-9-2021,2.4181835840996273,2.863490759015673,3.887151479983905,315.1829960994754
287,1.01821,7-9-2021,2.3930189961005923,2.84108679445392,3.819170698659805,312.0280393744909
288,1.208019,12-9-2021,2.2121069125276414,2.6135386010300583,3.5529358480912956,287.3193451959304
289,0.418069,17-9-2021,2.062018747039327,2.426004302576369,3.3270077445274193,266.1545060313513
291,0.421799,27-9-2021,1.8880302277156702,2.212883779418014,3.0468311605294915,245.09347519889073
293,0.416844,7-10-2021,1.9154535035795028,2.2133070922060374,3.0398157197272617,246.5870331131533
297,0.41248,27-10-2021,1.8444523781167987,2.1388228437474472,2.847566708302883,244.2300417046771
302,0.442243,21-11-2021,1.7081982181994784,1.9280607722403638,2.6660125363899603,219.7892809062054
303,0.436457,26-11-2021,1.498015052396666,1.6790577782821612,2.338843532258137,193.31411965807098
304,1.316118,1-12-2021,1.371355254025005,1.554012306521199,2.1819886795864165,175.99741909752245
305,0.430908,6-12-2021,1.2171809887719751,1.3759194384686666,1.961267213740322,155.5057269760094
306,0.426894,11-12-2021,1.0733446993731752,1.2148656090353085,1.693723111820711,137.747520035904
307,0.425778,16-12-2021,1.1621674486019378,1.3122271887742145,1.8311211860312016,149.79040554177917
308,2.122926,21-12-2021,1.105647290094695,1.2466720827696853,1.7534442844155618,141.69487891947833
310,1.239367,31-12-2021,1.1992134535230323,1.3580495736019418,1.8733940774949651,156.24631954205068
311,0.403968,5-1-2022,1.162604846049025,1.3118426946813653,1.8121873694890063,152.38692702092428
313,1.239511,15-1-2022,1.1312453682266908,1.291350930663094,1.791801070332269,147.51747356429854
314,1.214409,20-1-2022,1.1837404658130737,1.3427761925004427,1.8611066016723086,153.5283301338269
315,0.39338,25-1-2022,0.9448326808152434,1.0699081537081911,1.4956363770583692,121.98793642589253
316,0.466208,30-1-2022,0.9538004467798847,1.0634305674041453,1.521730858454907,122.56573691155008
326,0.650208,21-3-2022,0.794319254930464,0.8772268408898013,1.1837614792629703,104.61677665237538
331,0.45265,15-4-2022,0.8626902912226566,0.9333464869800189,1.2600868250630606,117.77277087898405
332,1.38905,20-4-2022,0.8829147881709051,0.9529036558886118,1.2888917675330003,123.17280301198987
333,0.457029,25-4-2022,0.8200133467199386,0.8862498910794336,1.224994983197488,114.0264619235893
338,0.440215,20-5-2022,0.5055100669223354,0.5348984580018751,0.759116123830184,68.42513790314402
339,1.366484,25-5-2022,0.48574892589050944,0.521399625268225,0.7338830075556574,66.1135159322417
340,0.429948,30-5-2022,0.44908965213709756,0.48182379727646685,0.6727199766384153,61.32436471026086
341,0.417433,4-6-2022,0.5225912667211435,0.5602255376648544,0.7772955665183173,73.30719333888555
345,1.278589,24-6-2022,0.45656956809379534,0.4803366242622928,0.6956359880088836,64.79140990203058
347,0.442478,4-7-2022,0.43800743285704924,0.45695555176660235,0.6704451855519592,61.72788640594652
349,0.428483,14-7-2022,0.43614524804647886,0.4375717318924484,0.6499537355424267,60.230675474653005
350,3.236097,19-7-2022,0.48439500585508727,0.49151459476018716,0.7218068769307464,67.94992666721699
351,4.168024,24-7-2022,0.5079467403505921,0.5187661266888138,0.7490126905277413,70.64453360022911
352,0.422051,29-7-2022,0.5041546257443921,0.5139091350365205,0.7341305054006408,69.1025547712627
353,0.382124,3-8-2022,0.49230519538152806,0.49996109970125363,0.7244266347897262,66.7090403629848
355,2.070482,13-8-2022,0.5279765078575493,0.5418383585852335,0.7602989153530637,72.30101413535871
356,1.209224,18-8-2022,0.5299323200368972,0.5393016068527493,0.7779501181075877,72.79897565503556
357,0.373041,23-8-2022,0.4638824382761227,0.46103966768517546,0.6701963064462348,63.44366867015702
358,1.200851,28-8-2022,0.4534337540971426,0.4518468678970884,0.655951068441751,62.158314382262915
360,0.328382,7-9-2022,0.4690261645489173,0.46431246441022445,0.6897152718204899,66.43089110043323
361,1.803252,12-9-2022,0.5048245839969782,0.5085717405815829,0.7426673127712878,72.48749304270399
362,0.327058,17-9-2022,0.47351182758927474,0.474275886041687,0.7057751630533815,67.78659242633722
363,0.327643,22-9-2022,0.4495414147029212,0.44199914135484214,0.6686023771463602,63.78180209492789
