EPOCH,AMOUNT
254,614006
255,679667
256,556241
257,651712
258,619077
259,663040
260,784500
261,638854
262,649212
263,614690
264,793033
265,480054
266,579901
267,577486
268,1504933
269,1399815
270,1615938
271,1509246
